±i’Æ∞ﬂ,natural,85,1
±i’Æ∞ﬂ,natural,86,2
±i’Æ∞ﬂ,natural,85,3
±i’Æ∞ﬂ,natural,78,4
±i’Æ∞ﬂ,natural,77,5
±i’Æ∞ﬂ,natural,75,6
±i’Æ∞ﬂ,natural,74,7
±i’Æ∞ﬂ,natural,73,8
±i’Æ∞ﬂ,natural,72,9
±i’Æ∞ﬂ,natural,74,10
±i’Æ∞ﬂ,natural,73,11
±i’Æ∞ﬂ,natural,74,12
±i’Æ∞ﬂ,natural,75,13
±i’Æ∞ﬂ,natural,74,14
±i’Æ∞ﬂ,natural,75,15
±i’Æ∞ﬂ,natural,76,16
±i’Æ∞ﬂ,natural,77,17
±i’Æ∞ﬂ,natural,76,18
±i’Æ∞ﬂ,natural,77,19
±i’Æ∞ﬂ,natural,79,20
±i’Æ∞ﬂ,natural,78,21
±i’Æ∞ﬂ,natural,76,22
±i’Æ∞ﬂ,natural,75,23
±i’Æ∞ﬂ,natural,76,24
±i’Æ∞ﬂ,natural,79,25
±i’Æ∞ﬂ,natural,78,26
±i’Æ∞ﬂ,natural,77,27
±i’Æ∞ﬂ,natural,78,28
±i’Æ∞ﬂ,natural,77,29
±i’Æ∞ﬂ,natural,79,30
±i’Æ∞ﬂ,natural,78,31
±i’Æ∞ﬂ,natural,77,32
±i’Æ∞ﬂ,natural,76,33
±i’Æ∞ﬂ,natural,78,34
±i’Æ∞ﬂ,natural,79,35
±i’Æ∞ﬂ,natural,87,36
±i’Æ∞ﬂ,natural,88,37
±i’Æ∞ﬂ,natural,87,38
±i’Æ∞ﬂ,natural,88,39
±i’Æ∞ﬂ,natural,87,40
±i’Æ∞ﬂ,natural,86,41
±i’Æ∞ﬂ,natural,78,42
±i’Æ∞ﬂ,natural,77,43
±i’Æ∞ﬂ,natural,76,44
±i’Æ∞ﬂ,natural,75,45
±i’Æ∞ﬂ,natural,74,46
±i’Æ∞ﬂ,natural,73,47
±i’Æ∞ﬂ,natural,75,48
±i’Æ∞ﬂ,natural,74,49
±i’Æ∞ﬂ,natural,75,50
±i’Æ∞ﬂ,natural,76,51
±i’Æ∞ﬂ,natural,72,52
±i’Æ∞ﬂ,natural,74,53
±i’Æ∞ﬂ,natural,75,54
±i’Æ∞ﬂ,natural,74,55
±i’Æ∞ﬂ,natural,75,56
±i’Æ∞ﬂ,natural,77,57
±i’Æ∞ﬂ,natural,78,58
±i’Æ∞ﬂ,natural,79,59
±i’Æ∞ﬂ,natural,80,60
±i’Æ∞ﬂ,natural,81,61
±i’Æ∞ﬂ,natural,82,62
±i’Æ∞ﬂ,natural,80,63
±i’Æ∞ﬂ,natural,79,64
±i’Æ∞ﬂ,natural,76,65
±i’Æ∞ﬂ,natural,75,66
±i’Æ∞ﬂ,natural,74,67
±i’Æ∞ﬂ,natural,73,68
±i’Æ∞ﬂ,natural,72,69
±i’Æ∞ﬂ,natural,71,70
±i’Æ∞ﬂ,natural,77,71
±i’Æ∞ﬂ,natural,78,72
±i’Æ∞ﬂ,natural,84,73
±i’Æ∞ﬂ,natural,85,74
±i’Æ∞ﬂ,natural,83,75
±i’Æ∞ﬂ,natural,84,76
±i’Æ∞ﬂ,natural,82,77
±i’Æ∞ﬂ,natural,81,78
±i’Æ∞ﬂ,natural,80,79
±i’Æ∞ﬂ,natural,79,80
±i’Æ∞ﬂ,natural,78,81
±i’Æ∞ﬂ,natural,76,82
±i’Æ∞ﬂ,natural,75,83
±i’Æ∞ﬂ,natural,74,84
±i’Æ∞ﬂ,natural,77,85
±i’Æ∞ﬂ,natural,76,86
±i’Æ∞ﬂ,natural,78,87
±i’Æ∞ﬂ,natural,76,88
