ªL­§Íº,sad,94,1,1st
ªL­§Íº,sad,93,2,1st
ªL­§Íº,sad,92,3,1st
ªL­§Íº,sad,91,4,1st
ªL­§Íº,sad,92,5,1st
ªL­§Íº,sad,91,6,1st
ªL­§Íº,sad,92,7,1st
ªL­§Íº,sad,91,8,1st
ªL­§Íº,sad,90,9,1st
ªL­§Íº,sad,91,10,1st
ªL­§Íº,sad,92,11,1st
ªL­§Íº,sad,93,12,1st
ªL­§Íº,sad,91,13,1st
ªL­§Íº,sad,90,14,1st
ªL­§Íº,sad,91,15,1st
ªL­§Íº,sad,92,16,1st
ªL­§Íº,sad,93,17,1st
ªL­§Íº,sad,94,18,1st
ªL­§Íº,sad,92,19,1st
ªL­§Íº,sad,91,20,1st
ªL­§Íº,sad,90,21,1st
ªL­§Íº,sad,88,22,1st
ªL­§Íº,sad,89,23,1st
ªL­§Íº,sad,90,24,1st
ªL­§Íº,sad,91,25,1st
ªL­§Íº,sad,94,26,1st
ªL­§Íº,sad,93,27,1st
ªL­§Íº,sad,90,28,1st
ªL­§Íº,sad,89,29,1st
ªL­§Íº,sad,90,30,1st
ªL­§Íº,sad,89,31,1st
ªL­§Íº,sad,88,32,1st
ªL­§Íº,sad,87,33,1st
ªL­§Íº,sad,88,34,1st
ªL­§Íº,sad,89,35,1st
ªL­§Íº,sad,87,36,1st
ªL­§Íº,sad,86,37,1st
ªL­§Íº,sad,87,38,1st
ªL­§Íº,sad,88,39,1st
ªL­§Íº,sad,87,40,1st
ªL­§Íº,sad,86,41,1st
ªL­§Íº,sad,87,42,1st
ªL­§Íº,sad,88,43,1st
ªL­§Íº,sad,85,44,1st
ªL­§Íº,sad,87,45,1st
ªL­§Íº,sad,88,46,1st
ªL­§Íº,sad,86,47,1st
ªL­§Íº,sad,85,48,1st
ªL­§Íº,sad,86,49,1st
ªL­§Íº,sad,87,50,1st
ªL­§Íº,sad,86,51,1st
ªL­§Íº,sad,87,52,1st
ªL­§Íº,sad,86,53,1st
ªL­§Íº,sad,84,54,1st
ªL­§Íº,sad,85,55,1st
ªL­§Íº,sad,86,56,1st
ªL­§Íº,sad,85,57,1st
ªL­§Íº,sad,86,58,1st
ªL­§Íº,sad,84,59,1st
ªL­§Íº,sad,83,60,1st
ªL­§Íº,sad,83,61,1st
ªL­§Íº,sad,82,62,1st
ªL­§Íº,sad,84,63,1st
ªL­§Íº,sad,85,64,1st
ªL­§Íº,sad,87,65,1st
ªL­§Íº,sad,88,66,1st
ªL­§Íº,sad,89,67,1st
ªL­§Íº,sad,90,68,1st
ªL­§Íº,sad,91,69,1st
ªL­§Íº,sad,89,70,1st
ªL­§Íº,sad,87,71,1st
ªL­§Íº,sad,86,72,1st
ªL­§Íº,sad,85,73,1st
ªL­§Íº,sad,84,74,1st
ªL­§Íº,sad,86,75,1st
